record_id,entity_type,entity_id,issuer_id,legal_entity_id,plant_id,group_id,name,layer,registration_source,source_url,query_date,record_status,double_count_key,double_count_rule,aggregation_policy,product_scope,notes
cand:l1a-cn-301251,issuer,issuer:CN:301251,issuer:CN:301251,-,-,-,威尔高,L1-A,巨潮资讯法定披露检索入口（主体索引）,https://www.cninfo.com.cn/new/fulltextSearch?keyWord=301251,2026-08-28,待核,l1a:CN:301251,无,不适用,FAB1/PCB裸板候选；不得入统计,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""301251""；判定类别=L1-A种子/待人工裁决。该锚仅证明法定披露主体检索入口，不证明PCB主营、厂址或中国大陆产能；须补年报主营段并由人工裁决。"
cand:l1a-cn-603386,issuer,issuer:CN:603386,issuer:CN:603386,-,-,-,骏亚科技,L1-A,巨潮资讯法定披露检索入口（主体索引）,https://www.cninfo.com.cn/new/fulltextSearch?keyWord=603386,2026-08-28,待核,l1a:CN:603386,无,不适用,FAB1/PCB裸板候选；不得入统计,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""603386""；判定类别=L1-A种子/待人工裁决。该锚仅证明法定披露主体检索入口，不证明PCB主营、厂址或中国大陆产能；须补年报主营段并由人工裁决。"
cand:l1a-cn-605258,issuer,issuer:CN:605258,issuer:CN:605258,-,-,-,协和电子,L1-A,巨潮资讯法定披露检索入口（主体索引）,https://www.cninfo.com.cn/new/fulltextSearch?keyWord=605258,2026-08-28,待核,l1a:CN:605258,无,不适用,FAB1/PCB裸板候选；不得入统计,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""605258""；判定类别=L1-A种子/待人工裁决。该锚仅证明法定披露主体检索入口，不证明PCB主营、厂址或中国大陆产能；须补年报主营段并由人工裁决。"
cand:l1a-cn-605058,issuer,issuer:CN:605058,issuer:CN:605058,-,-,-,澳弘电子,L1-A,巨潮资讯法定披露检索入口（主体索引）,https://www.cninfo.com.cn/new/fulltextSearch?keyWord=605058,2026-08-28,待核,l1a:CN:605058,无,不适用,FAB1/PCB裸板候选；不得入统计,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""605058""；判定类别=L1-A种子/待人工裁决。该锚仅证明法定披露主体检索入口，不证明PCB主营、厂址或中国大陆产能；须补年报主营段并由人工裁决。"
cand:l1a-cn-000823,issuer,issuer:CN:000823,issuer:CN:000823,-,-,-,超声电子,L1-A,巨潮资讯法定披露检索入口（主体索引）,https://www.cninfo.com.cn/new/fulltextSearch?keyWord=000823,2026-08-28,待核,l1a:CN:000823,无,不适用,FAB1/PCB裸板候选；不得入统计,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""000823""；判定类别=L1-A种子/待人工裁决。该锚仅证明法定披露主体检索入口，不证明PCB主营、厂址或中国大陆产能；须补年报主营段并由人工裁决。"
cand:l1a-cn-002134,issuer,issuer:CN:002134,issuer:CN:002134,-,-,-,天津普林,L1-A,巨潮资讯法定披露检索入口（主体索引）,https://www.cninfo.com.cn/new/fulltextSearch?keyWord=002134,2026-08-28,待核,l1a:CN:002134,无,不适用,FAB1/PCB裸板候选；不得入统计,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""002134""；判定类别=L1-A种子/待人工裁决。该锚仅证明法定披露主体检索入口，不证明PCB主营、厂址或中国大陆产能；须补年报主营段并由人工裁决。"
cand:l1a-cn-600601,issuer,issuer:CN:600601,issuer:CN:600601,-,-,-,方正科技,L1-A,巨潮资讯法定披露检索入口（主体索引）,https://www.cninfo.com.cn/new/fulltextSearch?keyWord=600601,2026-08-28,待核,l1a:CN:600601,无,不适用,FAB1/PCB裸板候选；不得入统计,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""600601""；判定类别=L1-A种子/待人工裁决。该锚仅证明法定披露主体检索入口，不证明PCB主营、厂址或中国大陆产能；须补年报主营段并由人工裁决。"
cand:l1a-cn-002938,issuer,issuer:CN:002938,issuer:CN:002938,-,-,-,鹏鼎控股,L1-A,巨潮资讯法定披露检索入口（主体索引）,https://www.cninfo.com.cn/new/fulltextSearch?keyWord=002938,2026-08-28,待核,l1a:CN:002938,无,不适用,FAB1/PCB裸板候选；不得入统计,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""002938""；判定类别=L1-A种子/待人工裁决。该锚仅证明法定披露主体检索入口，不证明PCB主营、厂址或中国大陆产能；须补年报主营段并由人工裁决。"
cand:l1a-cn-002384,issuer,issuer:CN:002384,issuer:CN:002384,-,-,-,东山精密,L1-A,巨潮资讯法定披露检索入口（主体索引）,https://www.cninfo.com.cn/new/fulltextSearch?keyWord=002384,2026-08-28,待核,l1a:CN:002384,无,不适用,FAB1/PCB裸板候选；不得入统计,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""002384""；判定类别=L1-A种子/待人工裁决。该锚仅证明法定披露主体检索入口，不证明PCB主营、厂址或中国大陆产能；须补年报主营段并由人工裁决。"
cand:l1a-cn-300657,issuer,issuer:CN:300657,issuer:CN:300657,-,-,-,弘信电子,L1-A,巨潮资讯法定披露检索入口（主体索引）,https://www.cninfo.com.cn/new/fulltextSearch?keyWord=300657,2026-08-28,待核,l1a:CN:300657,无,不适用,FAB1/PCB裸板候选；不得入统计,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""300657""；判定类别=L1-A种子/待人工裁决。该锚仅证明法定披露主体检索入口，不证明PCB主营、厂址或中国大陆产能；须补年报主营段并由人工裁决。"
cand:l1a-cn-688183,issuer,issuer:CN:688183,issuer:CN:688183,-,-,-,生益电子,L1-A,巨潮资讯法定披露检索入口（主体索引）,https://www.cninfo.com.cn/new/fulltextSearch?keyWord=688183,2026-08-28,待核,l1a:CN:688183,无,不适用,FAB1/PCB裸板候选；不得入统计,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""688183""；判定类别=L1-A种子/待人工裁决。该锚仅证明法定披露主体检索入口，不证明PCB主营、厂址或中国大陆产能；须补年报主营段并由人工裁决。"
cand:l1a-cn-301366,issuer,issuer:CN:301366,issuer:CN:301366,-,-,-,一博科技,L1-A,巨潮资讯法定披露检索入口（主体索引）,https://www.cninfo.com.cn/new/fulltextSearch?keyWord=301366,2026-08-28,待核,l1a:CN:301366,无,不适用,FAB1/PCB裸板候选；不得入统计,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""301366""；判定类别=L1-A种子/待人工裁决。该锚仅证明法定披露主体检索入口，不证明PCB主营、厂址或中国大陆产能；须补年报主营段并由人工裁决。"
cand:l1a-cn-301041,issuer,issuer:CN:301041,issuer:CN:301041,-,-,-,金百泽,L1-A,巨潮资讯法定披露检索入口（主体索引）,https://www.cninfo.com.cn/new/fulltextSearch?keyWord=301041,2026-08-28,待核,l1a:CN:301041,无,不适用,FAB1/PCB裸板候选；不得入统计,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""301041""；判定类别=L1-A种子/待人工裁决。该锚仅证明法定披露主体检索入口，不证明PCB主营、厂址或中国大陆产能；须补年报主营段并由人工裁决。"
cand:l2-twse-1101,issuer,issuer:TW:1101,issuer:TW:1101,-,-,-,台泥,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,待核,l2:TWSE:1101,无,不适用,L2机械母集；未挂格,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""公司代號 1101""；判定类别=L2机械母集/待人工裁决。原始出表日期=1150827；完整发行人母集不推定PCB主营、中国大陆厂址或物理产能。"
cand:l2-twse-1102,issuer,issuer:TW:1102,issuer:TW:1102,-,-,-,亞泥,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,待核,l2:TWSE:1102,无,不适用,L2机械母集；未挂格,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""公司代號 1102""；判定类别=L2机械母集/待人工裁决。原始出表日期=1150827；完整发行人母集不推定PCB主营、中国大陆厂址或物理产能。"
cand:l2-twse-1103,issuer,issuer:TW:1103,issuer:TW:1103,-,-,-,嘉泥,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,待核,l2:TWSE:1103,无,不适用,L2机械母集；未挂格,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""公司代號 1103""；判定类别=L2机械母集/待人工裁决。原始出表日期=1150827；完整发行人母集不推定PCB主营、中国大陆厂址或物理产能。"
cand:l2-twse-1104,issuer,issuer:TW:1104,issuer:TW:1104,-,-,-,環泥,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,待核,l2:TWSE:1104,无,不适用,L2机械母集；未挂格,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""公司代號 1104""；判定类别=L2机械母集/待人工裁决。原始出表日期=1150827；完整发行人母集不推定PCB主营、中国大陆厂址或物理产能。"
cand:l2-twse-1108,issuer,issuer:TW:1108,issuer:TW:1108,-,-,-,幸福,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,待核,l2:TWSE:1108,无,不适用,L2机械母集；未挂格,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""公司代號 1108""；判定类别=L2机械母集/待人工裁决。原始出表日期=1150827；完整发行人母集不推定PCB主营、中国大陆厂址或物理产能。"
cand:l2-twse-1109,issuer,issuer:TW:1109,issuer:TW:1109,-,-,-,信大,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,待核,l2:TWSE:1109,无,不适用,L2机械母集；未挂格,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""公司代號 1109""；判定类别=L2机械母集/待人工裁决。原始出表日期=1150827；完整发行人母集不推定PCB主营、中国大陆厂址或物理产能。"
cand:l2-twse-1110,issuer,issuer:TW:1110,issuer:TW:1110,-,-,-,東泥,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,待核,l2:TWSE:1110,无,不适用,L2机械母集；未挂格,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""公司代號 1110""；判定类别=L2机械母集/待人工裁决。原始出表日期=1150827；完整发行人母集不推定PCB主营、中国大陆厂址或物理产能。"
cand:l2-twse-1201,issuer,issuer:TW:1201,issuer:TW:1201,-,-,-,味全,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,待核,l2:TWSE:1201,无,不适用,L2机械母集；未挂格,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""公司代號 1201""；判定类别=L2机械母集/待人工裁决。原始出表日期=1150827；完整发行人母集不推定PCB主营、中国大陆厂址或物理产能。"
cand:l2-twse-1203,issuer,issuer:TW:1203,issuer:TW:1203,-,-,-,味王,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,待核,l2:TWSE:1203,无,不适用,L2机械母集；未挂格,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""公司代號 1203""；判定类别=L2机械母集/待人工裁决。原始出表日期=1150827；完整发行人母集不推定PCB主营、中国大陆厂址或物理产能。"
cand:l2-twse-1210,issuer,issuer:TW:1210,issuer:TW:1210,-,-,-,大成,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,待核,l2:TWSE:1210,无,不适用,L2机械母集；未挂格,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""公司代號 1210""；判定类别=L2机械母集/待人工裁决。原始出表日期=1150827；完整发行人母集不推定PCB主营、中国大陆厂址或物理产能。"
cand:l2-twse-1213,issuer,issuer:TW:1213,issuer:TW:1213,-,-,-,大飲,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,待核,l2:TWSE:1213,无,不适用,L2机械母集；未挂格,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""公司代號 1213""；判定类别=L2机械母集/待人工裁决。原始出表日期=1150827；完整发行人母集不推定PCB主营、中国大陆厂址或物理产能。"
cand:l2-twse-1215,issuer,issuer:TW:1215,issuer:TW:1215,-,-,-,卜蜂,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,待核,l2:TWSE:1215,无,不适用,L2机械母集；未挂格,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""公司代號 1215""；判定类别=L2机械母集/待人工裁决。原始出表日期=1150827；完整发行人母集不推定PCB主营、中国大陆厂址或物理产能。"
cand:l2-twse-1216,issuer,issuer:TW:1216,issuer:TW:1216,-,-,-,統一,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,待核,l2:TWSE:1216,无,不适用,L2机械母集；未挂格,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""公司代號 1216""；判定类别=L2机械母集/待人工裁决。原始出表日期=1150827；完整发行人母集不推定PCB主营、中国大陆厂址或物理产能。"
cand:l2-twse-1217,issuer,issuer:TW:1217,issuer:TW:1217,-,-,-,愛之味,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,待核,l2:TWSE:1217,无,不适用,L2机械母集；未挂格,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""公司代號 1217""；判定类别=L2机械母集/待人工裁决。原始出表日期=1150827；完整发行人母集不推定PCB主营、中国大陆厂址或物理产能。"
cand:l2-twse-1218,issuer,issuer:TW:1218,issuer:TW:1218,-,-,-,泰山,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,待核,l2:TWSE:1218,无,不适用,L2机械母集；未挂格,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""公司代號 1218""；判定类别=L2机械母集/待人工裁决。原始出表日期=1150827；完整发行人母集不推定PCB主营、中国大陆厂址或物理产能。"
cand:l2-twse-1219,issuer,issuer:TW:1219,issuer:TW:1219,-,-,-,福壽,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,待核,l2:TWSE:1219,无,不适用,L2机械母集；未挂格,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""公司代號 1219""；判定类别=L2机械母集/待人工裁决。原始出表日期=1150827；完整发行人母集不推定PCB主营、中国大陆厂址或物理产能。"
cand:l2-twse-1220,issuer,issuer:TW:1220,issuer:TW:1220,-,-,-,台榮,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,待核,l2:TWSE:1220,无,不适用,L2机械母集；未挂格,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""公司代號 1220""；判定类别=L2机械母集/待人工裁决。原始出表日期=1150827；完整发行人母集不推定PCB主营、中国大陆厂址或物理产能。"
cand:l2-twse-1225,issuer,issuer:TW:1225,issuer:TW:1225,-,-,-,福懋油,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,待核,l2:TWSE:1225,无,不适用,L2机械母集；未挂格,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""公司代號 1225""；判定类别=L2机械母集/待人工裁决。原始出表日期=1150827；完整发行人母集不推定PCB主营、中国大陆厂址或物理产能。"
cand:l2-twse-1227,issuer,issuer:TW:1227,issuer:TW:1227,-,-,-,佳格,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,待核,l2:TWSE:1227,无,不适用,L2机械母集；未挂格,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""公司代號 1227""；判定类别=L2机械母集/待人工裁决。原始出表日期=1150827；完整发行人母集不推定PCB主营、中国大陆厂址或物理产能。"
cand:l2-twse-1229,issuer,issuer:TW:1229,issuer:TW:1229,-,-,-,聯華,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,待核,l2:TWSE:1229,无,不适用,L2机械母集；未挂格,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""公司代號 1229""；判定类别=L2机械母集/待人工裁决。原始出表日期=1150827；完整发行人母集不推定PCB主营、中国大陆厂址或物理产能。"
cand:l2-twse-1231,issuer,issuer:TW:1231,issuer:TW:1231,-,-,-,聯華食,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,待核,l2:TWSE:1231,无,不适用,L2机械母集；未挂格,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""公司代號 1231""；判定类别=L2机械母集/待人工裁决。原始出表日期=1150827；完整发行人母集不推定PCB主营、中国大陆厂址或物理产能。"
cand:l2-twse-1232,issuer,issuer:TW:1232,issuer:TW:1232,-,-,-,大統益,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,待核,l2:TWSE:1232,无,不适用,L2机械母集；未挂格,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""公司代號 1232""；判定类别=L2机械母集/待人工裁决。原始出表日期=1150827；完整发行人母集不推定PCB主营、中国大陆厂址或物理产能。"
cand:l2-twse-1233,issuer,issuer:TW:1233,issuer:TW:1233,-,-,-,天仁,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,待核,l2:TWSE:1233,无,不适用,L2机械母集；未挂格,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""公司代號 1233""；判定类别=L2机械母集/待人工裁决。原始出表日期=1150827；完整发行人母集不推定PCB主营、中国大陆厂址或物理产能。"
cand:l2-twse-1234,issuer,issuer:TW:1234,issuer:TW:1234,-,-,-,黑松,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,待核,l2:TWSE:1234,无,不适用,L2机械母集；未挂格,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""公司代號 1234""；判定类别=L2机械母集/待人工裁决。原始出表日期=1150827；完整发行人母集不推定PCB主营、中国大陆厂址或物理产能。"
cand:l2-twse-1235,issuer,issuer:TW:1235,issuer:TW:1235,-,-,-,興泰,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,待核,l2:TWSE:1235,无,不适用,L2机械母集；未挂格,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""公司代號 1235""；判定类别=L2机械母集/待人工裁决。原始出表日期=1150827；完整发行人母集不推定PCB主营、中国大陆厂址或物理产能。"
