record_id,entity_type,entity_id,issuer_id,legal_entity_id,plant_id,group_id,name,layer,registration_source,source_url,query_date,record_status,double_count_key,double_count_rule,aggregation_policy,product_scope,notes
frozen:l2-twse-1213,issuer,issuer:TW:1213,issuer:TW:1213,-,-,-,大飲,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1213,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1215,issuer,issuer:TW:1215,issuer:TW:1215,-,-,-,卜蜂,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1215,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1216,issuer,issuer:TW:1216,issuer:TW:1216,-,-,-,統一,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1216,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1217,issuer,issuer:TW:1217,issuer:TW:1217,-,-,-,愛之味,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1217,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1218,issuer,issuer:TW:1218,issuer:TW:1218,-,-,-,泰山,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1218,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1219,issuer,issuer:TW:1219,issuer:TW:1219,-,-,-,福壽,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1219,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1220,issuer,issuer:TW:1220,issuer:TW:1220,-,-,-,台榮,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1220,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1225,issuer,issuer:TW:1225,issuer:TW:1225,-,-,-,福懋油,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1225,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1227,issuer,issuer:TW:1227,issuer:TW:1227,-,-,-,佳格,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1227,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1229,issuer,issuer:TW:1229,issuer:TW:1229,-,-,-,聯華,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1229,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1231,issuer,issuer:TW:1231,issuer:TW:1231,-,-,-,聯華食,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1231,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1232,issuer,issuer:TW:1232,issuer:TW:1232,-,-,-,大統益,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1232,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1233,issuer,issuer:TW:1233,issuer:TW:1233,-,-,-,天仁,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1233,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1234,issuer,issuer:TW:1234,issuer:TW:1234,-,-,-,黑松,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1234,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1235,issuer,issuer:TW:1235,issuer:TW:1235,-,-,-,興泰,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1235,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1236,issuer,issuer:TW:1236,issuer:TW:1236,-,-,-,宏亞,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1236,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1256,issuer,issuer:TW:1256,issuer:TW:1256,-,-,-,鮮活果汁-KY,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1256,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1301,issuer,issuer:TW:1301,issuer:TW:1301,-,-,-,台塑,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1301,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1303,issuer,issuer:TW:1303,issuer:TW:1303,-,-,-,南亞,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1303,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1304,issuer,issuer:TW:1304,issuer:TW:1304,-,-,-,台聚,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1304,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1305,issuer,issuer:TW:1305,issuer:TW:1305,-,-,-,華夏,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1305,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1307,issuer,issuer:TW:1307,issuer:TW:1307,-,-,-,三芳,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1307,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1308,issuer,issuer:TW:1308,issuer:TW:1308,-,-,-,亞聚,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1308,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1309,issuer,issuer:TW:1309,issuer:TW:1309,-,-,-,台達化,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1309,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1310,issuer,issuer:TW:1310,issuer:TW:1310,-,-,-,台苯,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1310,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1312,issuer,issuer:TW:1312,issuer:TW:1312,-,-,-,國喬,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1312,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1313,issuer,issuer:TW:1313,issuer:TW:1313,-,-,-,聯成,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1313,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1314,issuer,issuer:TW:1314,issuer:TW:1314,-,-,-,中石化,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1314,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1315,issuer,issuer:TW:1315,issuer:TW:1315,-,-,-,達新,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1315,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1316,issuer,issuer:TW:1316,issuer:TW:1316,-,-,-,上曜,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1316,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1319,issuer,issuer:TW:1319,issuer:TW:1319,-,-,-,東陽,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1319,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1321,issuer,issuer:TW:1321,issuer:TW:1321,-,-,-,大洋,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1321,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1323,issuer,issuer:TW:1323,issuer:TW:1323,-,-,-,永裕,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1323,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1324,issuer,issuer:TW:1324,issuer:TW:1324,-,-,-,地球,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1324,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1325,issuer,issuer:TW:1325,issuer:TW:1325,-,-,-,恆大,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1325,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1326,issuer,issuer:TW:1326,issuer:TW:1326,-,-,-,台化,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1326,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1337,issuer,issuer:TW:1337,issuer:TW:1337,-,-,-,再生-KY,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1337,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1338,issuer,issuer:TW:1338,issuer:TW:1338,-,-,-,廣華-KY,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1338,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1339,issuer,issuer:TW:1339,issuer:TW:1339,-,-,-,昭輝,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1339,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1340,issuer,issuer:TW:1340,issuer:TW:1340,-,-,-,勝悅-KY,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1340,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1341,issuer,issuer:TW:1341,issuer:TW:1341,-,-,-,富林-KY,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1341,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1342,issuer,issuer:TW:1342,issuer:TW:1342,-,-,-,八貫,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1342,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1402,issuer,issuer:TW:1402,issuer:TW:1402,-,-,-,遠東新,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1402,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1409,issuer,issuer:TW:1409,issuer:TW:1409,-,-,-,新纖,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1409,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1410,issuer,issuer:TW:1410,issuer:TW:1410,-,-,-,南染,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1410,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1413,issuer,issuer:TW:1413,issuer:TW:1413,-,-,-,宏洲,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1413,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1414,issuer,issuer:TW:1414,issuer:TW:1414,-,-,-,東和,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1414,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1416,issuer,issuer:TW:1416,issuer:TW:1416,-,-,-,廣豐,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1416,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1417,issuer,issuer:TW:1417,issuer:TW:1417,-,-,-,嘉裕,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1417,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1418,issuer,issuer:TW:1418,issuer:TW:1418,-,-,-,東華,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1418,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1419,issuer,issuer:TW:1419,issuer:TW:1419,-,-,-,新紡,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1419,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
