evidence_id,publisher,title,source_url,publication_date,retrieval_date,source_role,independence_group,locator,excerpt,access_status
EVD-011,NIST,Technical Note 1520 Printed-Circuit-Board Transmission-Line Characterization,https://nvlpubs.nist.gov/nistpubs/Legacy/TN/nbstechnicalnote1520.pdf,-,2026-08-28,primary_research,NIST,Conductor and dielectric loss analysis,测量与模型将总损耗分解为导体和介质贡献并讨论表面粗糙度的高频影响,accessible
EVD-012,Rogers Corporation,Circuit Materials and High-Frequency Losses of PCBs,https://rogerscorp.com/-/media/project/rogerscorp/documents/articles/english/advanced-connectivity-solutions/circuit-materials-and-high-frequency-losses-of-pcbs.pdf,-,2026-08-28,primary_research,Rogers,Insertion-loss comparison,在可比结构中对不同铜箔粗糙度的插入损耗进行测量比较,accessible
EVD-013,NIST,Electric Power Glossary Entry,https://www.nist.gov/glossary-term/26261,-,2026-08-28,primary_standard,NIST,Definition,给出电流通过电阻产生热及固定电阻下功耗与电流平方的关系,accessible
EVD-014,Intel,Thermal Challenges for Platform High-Current Power Delivery,https://www.intel.com/content/dam/www/public/us/en/documents/technology-briefs/intel-labs-hpc-thermal-challenges-paper.pdf,-,2026-08-28,primary_research,Intel,Platform and board power delivery,讨论高电流在平台和板级电源平面中的电阻损耗与热挑战,accessible
EVD-015,NVIDIA,GB300 NVL72 System Components,https://docs.nvidia.com/enterprise-reference-architectures/nvl72-ai-factory/latest/components.html,-,2026-08-28,primary_company,NVIDIA,Compute and switch tray sections,披露 18 个计算托盘和 9 个交换托盘并列出计算托盘主要处理器与网络组件,accessible
EVD-016,NVIDIA,DGX GB200 and GB300 Hardware Overview,https://docs.nvidia.com/dgx/dgxgb200-user-guide/hardware.html,-,2026-08-28,primary_company,NVIDIA,System architecture and power distribution,披露托盘数量并说明无源铜缆背板和约 50V 母排供电架构,accessible
EVD-017,NVIDIA,Vera Rubin POD Seven Chips Five Rack-Scale Systems One AI Supercomputer,https://developer.nvidia.com/blog/nvidia-vera-rubin-pod-seven-chips-five-rack-scale-systems-one-ai-supercomputer/,-,2026-08-28,primary_company,NVIDIA,Compute tray and NVLink spine sections,计算托盘使用 PCB midplane 而机架背部 NVLink spine 仍管理约五千根铜缆,accessible
EVD-018,NVIDIA,NVLink and NVLink Switch System,https://www.nvidia.com/en-us/data-center/nvlink/,-,2026-08-28,primary_company,NVIDIA,Generation comparison table,第五代为每 GPU 1800 GB每秒和 18 links 而第六代为 3600 GB每秒和 36 links,accessible
EVD-019,NVIDIA,NVIDIA Silicon Photonics,https://www.nvidia.com/en-au/networking/products/silicon-photonics/,-,2026-08-28,primary_company,NVIDIA,Spectrum-X and Quantum-X product scope,将 CPO 限定于 Spectrum-X Ethernet 与 Quantum-X800 InfiniBand 并披露 200G SerDes,accessible
EVD-020,NVIDIA,Inside the NVIDIA Rubin Platform,https://developer.nvidia.com/blog/inside-the-nvidia-rubin-platform-six-new-chips-one-ai-supercomputer/,-,2026-08-28,primary_company,NVIDIA,Spectrum-6 networking section,披露 Spectrum-6 的 102.4 Tb每秒交换能力与 200G PAM4 SerDes 及 CPO 路线,accessible
EVD-021,NVIDIA,Vera Rubin in Full Production,https://nvidianews.nvidia.com/news/vera-rubin-full-production-agentic-ai-factory,2026-05-31,2026-08-28,primary_company,NVIDIA,Production status,披露 Vera Rubin 平台进入 full-production ramp 且系统制造商进行规模化生产,accessible
EVD-022,IPC,Design to Manufacturing Transfer,https://www.ipc.org/system/files/technical_resource/E7%26S22_01.pdf,-,2026-08-28,primary_standard,IPC,Terminology,把印制板装联件定义为使用印制板承载并互连元件的装联,accessible
EVD-023,TTM Technologies,Printed Circuit Board Manufacturing Process,https://investors.ttm.com/sec-filings/all-sec-filings/content/0000950123-11-087344/0000950123-11-087344.pdf,2011,2026-08-28,primary_company,TTM,Manufacturing process,列出原料内层压合钻孔镀铜蚀刻阻焊表面处理成型和测试的主流程,accessible
EVD-024,Texas Instruments,WiLink 8Q 0.65-mm Pitch Flip Chip Ball Grid Array Package Reference Guide,https://www.ti.com/lit/an/slda021a/slda021a.pdf,2020-02,2026-08-28,primary_company,Texas-Instruments,Section 2.2.1 PCB routing,对同一 BGA 逃线明确列出机械通孔低成本路线与 HDI microvia 路线且选择依赖设计条件,accessible
EVD-025,Texas Instruments,AM570x Six-Layer PCB Reference Design,https://www.ti.com/tool/TIDEP-0100,2018-02-07,2026-08-28,primary_company,Texas-Instruments,Overview and verified design files,六层板以较大机械孔完成全部信号逃线并验证 DDR HDMI USB3 CSI-2 SerDes 与 PDN,accessible
